post_id,archetype,published_at,impressions,likes,replies,reposts,follows,like_rate,engagement_rate,impact_score,score_p10,score_p50,score_p90,audience_fit,niche_index,profile_impact,inference_path,length_baseline,keyword_promo_baseline,random_baseline,pred_impact_tertile,obs_impression_tertile
syn-tech-01,shipping,2026-06-03T14:12:00Z,14280.0,412.0,47.0,88.0,29.0,0.028852,0.038305,53.9,53.5,54.1,55.9,37.0,36.8,83.0,heuristic+prior-map,23.0,10.575,0.672422,mid,high
syn-tech-02,benchmark,2026-06-08T16:40:00Z,11840.0,356.0,39.0,71.0,21.0,0.030068,0.039358,54.3,53.7,54.6,56.1,37.0,36.8,83.8,heuristic+prior-map,22.0,2.55,0.903917,high,high
syn-tech-03,opensource,2026-06-12T13:05:00Z,9640.0,287.0,33.0,64.0,18.0,0.029772,0.039834,52.4,50.4,51.6,52.6,37.0,36.8,80.0,heuristic+prior-map,25.0,4.625,0.555273,low,high
syn-tech-04,postmortem,2026-06-18T11:22:00Z,8750.0,241.0,62.0,55.0,14.0,0.027543,0.040914,53.3,51.2,53.0,54.1,37.1,36.9,81.8,heuristic+prior-map,31.0,4.775,0.116178,low,high
syn-tech-05,security,2026-06-23T09:18:00Z,7320.0,198.0,28.0,41.0,11.0,0.027049,0.036475,54.2,52.2,54.4,55.5,37.0,36.8,83.6,heuristic+prior-map,30.0,2.75,0.212458,high,mid
syn-tech-06,tutorial,2026-06-27T15:50:00Z,6180.0,176.0,22.0,31.0,9.0,0.028479,0.037055,54.4,51.5,54.8,56.5,37.0,36.8,84.0,heuristic+prior-map,23.0,2.575,0.031214,high,mid
syn-tech-07,question,2026-07-02T17:05:00Z,5410.0,94.0,71.0,18.0,7.0,0.017375,0.033826,53.9,52.9,53.9,54.8,37.0,36.8,83.0,heuristic+prior-map,25.0,7.625,0.171087,mid,mid
syn-tech-08,comparison,2026-07-07T14:33:00Z,4890.0,132.0,41.0,19.0,6.0,0.026994,0.039264,54.3,52.3,54.5,55.2,37.0,36.8,83.8,heuristic+prior-map,28.0,6.7,0.878451,high,mid
syn-tech-09,rust,2026-07-11T19:10:00Z,8060.0,263.0,24.0,47.0,16.0,0.03263,0.041439,53.6,52.6,53.5,54.7,37.1,36.9,82.4,heuristic+prior-map,31.0,6.775,0.104609,mid,high
syn-tech-10,unpopular-opinion,2026-07-15T12:44:00Z,16320.0,501.0,186.0,94.0,22.0,0.030699,0.047855,54.0,53.1,54.1,54.7,37.0,36.8,83.2,heuristic+prior-map,24.0,4.6,0.798301,high,high
syn-tech-11,architecture,2026-07-20T13:28:00Z,3920.0,121.0,17.0,22.0,8.0,0.030867,0.040816,53.9,53.4,53.8,55.8,38.3,38.2,83.0,heuristic+prior-map,22.0,0.55,0.482608,mid,mid
syn-tech-12,weekend-project,2026-07-26T18:02:00Z,2740.0,88.0,14.0,11.0,4.0,0.032117,0.041241,54.1,53.2,54.3,55.1,37.0,36.8,83.4,heuristic+prior-map,21.0,0.525,0.776303,high,low
